month,year,destinationProvinceNameEn,originProvinceNameEn,visitPurposeEn,trips,spendSAR,nights
2,2018,Madinah,Madinah,Leisure,72740.29,4.164643147E7,145480.59
2,2018,Madinah,Madinah,VFR,31848.64,2.278402917E7,85746.35
2,2018,Madinah,Makkah,Business,5062.1,569878.34,9587.88
2,2018,Madinah,Makkah,Leisure,27237.8,1.053388994E7,120366.03
2,2018,Madinah,Makkah,Other,1072.64,536319.09,5363.19
2,2018,Madinah,Makkah,Religious,227988.98,1.0863773037E8,792772.33
2,2018,Madinah,Makkah,VFR,35116.37,1.604958892E7,159122.16
2,2018,Madinah,Najran,Religious,4690.59,4401590.05,15472.27
2,2018,Madinah,Northern Borders,Religious,453.76,907520.47,907.52
2,2018,Madinah,Riyadh,Leisure,20328.26,1.900250552E7,303156.25
2,2018,Madinah,Riyadh,Other,5303.02,3093431.13,18560.59
2,2018,Madinah,Riyadh,Religious,48855.92,2.259540055E7,239878.3
2,2018,Madinah,Riyadh,VFR,5770.54,3396205.63,32336.86
2,2018,Madinah,Tabuk,Religious,27308.87,3.382205416E7,120825.29
2,2018,Madinah,Tabuk,VFR,2498.4,7495194.64,37475.97
2,2018,Makkah,Albaha,Leisure,8846.23,5545573.48,29816.13
2,2018,Makkah,Albaha,Religious,7135.0,4756667.42,49945.01
2,2018,Makkah,Alqassim,Leisure,27264.71,2.264537888E7,96168.5
2,2018,Makkah,Alqassim,Religious,25091.53,1.006837036E7,55753.85
2,2018,Makkah,Alqassim,VFR,2513.75,3351662.94,50274.94
2,2018,Makkah,Aseer,Leisure,153401.6,2.9251248667E8,705287.74
2,2018,Makkah,Aseer,Other,3058.06,1.091135808E7,13862.32
2,2018,Makkah,Aseer,Religious,111208.25,2.3030656218E8,509052.17
2,2018,Makkah,Aseer,VFR,47346.07,5.311464649E7,228627.16
